age(kyr) mean(permil) sigma(permil)
53.000000 4.386449 0.129389
53.100000 4.382654 0.128943
53.200000 4.378811 0.128503
53.300000 4.374961 0.128226
53.400000 4.371378 0.127908
53.500000 4.367783 0.127696
53.600000 4.364899 0.127555
53.700000 4.362852 0.127561
53.800000 4.361623 0.127618
53.900000 4.361071 0.127776
54.000000 4.361843 0.127935
54.100000 4.363488 0.128062
54.200000 4.365843 0.128170
54.300000 4.369000 0.128214
54.400000 4.372918 0.128226
54.500000 4.376895 0.128098
54.600000 4.380994 0.127867
54.700000 4.385427 0.127479
54.800000 4.390017 0.127065
54.900000 4.394671 0.126625
55.000000 4.399798 0.126147
55.100000 4.405303 0.125660
55.200000 4.410911 0.125166
55.300000 4.416962 0.124621
55.400000 4.423166 0.124102
55.500000 4.429649 0.123731
55.600000 4.436143 0.123494
55.700000 4.442225 0.123255
55.800000 4.447743 0.122971
55.900000 4.452695 0.122667
56.000000 4.456791 0.122373
56.100000 4.460228 0.122256
56.200000 4.462575 0.122256
56.300000 4.462950 0.122592
56.400000 4.461661 0.123106
56.500000 4.458377 0.123866
56.600000 4.452633 0.124681
56.700000 4.445902 0.125437
56.800000 4.438595 0.126362
56.900000 4.430741 0.127382
57.000000 4.422256 0.128286
57.100000 4.413693 0.129043
57.200000 4.404978 0.129632
57.300000 4.396287 0.130202
57.400000 4.387556 0.130686
57.500000 4.379144 0.131156
57.600000 4.370955 0.131693
57.700000 4.363003 0.132224
57.800000 4.355444 0.132756
57.900000 4.348168 0.133214
58.000000 4.341216 0.133779
58.100000 4.334792 0.134449
58.200000 4.328614 0.135123
58.300000 4.322512 0.135870
58.400000 4.316828 0.136600
58.500000 4.311649 0.137267
58.600000 4.306986 0.137881
58.700000 4.302932 0.138401
58.800000 4.299726 0.138802
58.900000 4.297619 0.138993
59.000000 4.296707 0.138901
59.100000 4.297141 0.138610
59.200000 4.299137 0.138101
59.300000 4.303122 0.137453
59.400000 4.308375 0.136608
59.500000 4.315187 0.135476
59.600000 4.323242 0.134025
59.700000 4.331615 0.132322
59.800000 4.340294 0.130566
59.900000 4.349296 0.128758
60.000000 4.358406 0.126945
60.100000 4.367513 0.125252
60.200000 4.376593 0.123606
60.300000 4.385680 0.122080
60.400000 4.394607 0.120586
60.500000 4.403448 0.119178
60.600000 4.412345 0.117768
60.700000 4.421297 0.116334
60.800000 4.429941 0.115044
60.900000 4.438374 0.113866
61.000000 4.446564 0.112881
61.100000 4.454598 0.112267
61.200000 4.462574 0.111825
61.300000 4.470944 0.111729
61.400000 4.479735 0.111930
61.500000 4.488966 0.112454
61.600000 4.498564 0.113208
61.700000 4.508739 0.114063
61.800000 4.519182 0.114957
61.900000 4.530057 0.115693
62.000000 4.541784 0.116283
62.100000 4.553814 0.116635
62.200000 4.565947 0.116801
