age(kyr) mean(permil) sigma(permil)
50.600000 4.290989 0.111141
50.700000 4.290885 0.111071
50.800000 4.290745 0.111049
50.900000 4.290813 0.111061
51.000000 4.290977 0.111136
51.100000 4.291017 0.111266
51.200000 4.291009 0.111538
51.300000 4.290837 0.111936
51.400000 4.290378 0.112511
51.500000 4.289719 0.113183
51.600000 4.289037 0.113887
51.700000 4.288418 0.114623
51.800000 4.288028 0.115403
51.900000 4.287748 0.116162
52.000000 4.287461 0.116903
52.100000 4.287333 0.117606
52.200000 4.287306 0.118265
52.300000 4.287314 0.118976
52.400000 4.287379 0.119685
52.500000 4.287388 0.120397
52.600000 4.287543 0.121107
52.700000 4.287663 0.121864
52.800000 4.287570 0.122694
52.900000 4.287543 0.123629
53.000000 4.287386 0.124596
53.100000 4.287132 0.125578
53.200000 4.286873 0.126551
53.300000 4.286700 0.127556
53.400000 4.286531 0.128604
53.500000 4.286474 0.129657
53.600000 4.286390 0.130692
53.700000 4.286243 0.131766
53.800000 4.286184 0.132905
53.900000 4.286112 0.134126
54.000000 4.286020 0.135430
54.100000 4.285861 0.136761
54.200000 4.285768 0.138092
54.300000 4.285878 0.139406
54.400000 4.285886 0.140733
54.500000 4.285961 0.142084
54.600000 4.286042 0.143447
54.700000 4.286095 0.144811
54.800000 4.286046 0.146229
54.900000 4.286112 0.147652
55.000000 4.286199 0.149081
55.100000 4.286330 0.150493
55.200000 4.286480 0.151889
55.300000 4.286540 0.153311
55.400000 4.286519 0.154753
55.500000 4.286478 0.156193
55.600000 4.286398 0.157636
55.700000 4.286322 0.159091
55.800000 4.286228 0.160562
55.900000 4.286122 0.162031
56.000000 4.285926 0.163476
56.100000 4.285790 0.164908
56.200000 4.285655 0.166324
56.300000 4.285519 0.167724
56.400000 4.285408 0.169125
56.500000 4.285302 0.170511
56.600000 4.285201 0.171888
56.700000 4.285064 0.173248
56.800000 4.284927 0.174595
56.900000 4.284797 0.175939
57.000000 4.284707 0.177283
57.100000 4.284591 0.178625
